source_id,song_name,author,stanzas,main_te_lines,main_en_lines,warnings
3,Parishudhdha Prabhuvaa Parishudhdha Prabhuvaa Vara,,4,1,1,unbroken-lines
4,Andhaala Thaara Arudenche Naaki,A B  Masilamani,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
5,Aparaadini Yesaiah,,5,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=5 en=0
6,Aadedhan Paadehan,,2,1,1,unbroken-lines; stanza-count-mismatch te=2 en=0
7,Athyunatha Simhasanamu Pai,,4,2,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=4 en=0
8,Anni Namamula Kanna Pai Namamu,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
9,Aaradhinchedan Ninnu Naa Yesaiah,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
21,Alayamlo Pravesinchandi Andharu,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
22,Ascharya Mina Prema,,4,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=4 en=0
23,Aaha Mahaanandame,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
24,Idi Kothaku Samayam,,3,1,0,no-english-lyrics; stanza-count-mismatch te=3 en=0
25,Udhayakanthi Rekalo,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
26,Unnanthamyna Prema Dm,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
27,Unnathamyna Sthalamulalo Cm,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
28,Oohala Kandhani Lokamulo,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
29,Enduko Naninthaaga Neevu,,0,1,1,unbroken-lines
30,Enni Thalachina,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
31,Oka Saari Aalochinchava,,3,2,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
32,O Neethi Suryuda,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
33,O Yesu Divya Prema,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
34,Oranna Oranna,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
35,Kanumaa Siluva Pai,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
36,Kaluvari Girilona,,2,1,0,no-english-lyrics; stanza-count-mismatch te=2 en=0
37,Kaluvari Giri Siluvalo,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
38,Halleluaya Ani Paduuchu,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
39,Kristhu Nedu Lechenu,,4,0,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=4 en=0
40,Prema Kaligi Sathyamu Palukuchu,Pastor N J Simon,0,1,1,unbroken-lines
41,Ghanamainavi Nee Kaaryamulu Naa Yedala,,0,1,1,unbroken-lines
42,Gesthemane Thota,,2,3,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
43,Chirakaala Snehithudaa,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
44,Jayamu Kristhu Jaya Jaya Livigo,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
45,Jayahe Jayahe,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
46,Jeeva Nadhini,,0,1,0,no-english-lyrics; unbroken-lines
47,Dhevuni Vaarasulam,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
48,Divam Prema Swaroopam,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
49,Nannethagano Preminchinaavu,,4,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=4 en=0
50,Naa Pere Theliyani,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
51,Naa Yesu Raju,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
52,Nine Preminthunu,,3,3,0,no-english-lyrics; stanza-count-mismatch te=3 en=0
53,Nithyudyna Dhevuni Thodu O,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
54,Neeti Yuta Yodha,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
55,Neeti Vaagula Koraku,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
