wtc_id,wtc_title,verdict,library_song_id,library_song_name,fuzzy_score,url
3,పరిశుద్ద పరిశుద్ద ప్రభువా,in_library_contained,547,Parishuddha Parishuddha,,https://waytochurch.com/lyrics/song/3/పరిశుద్ద-పరిశుద్ద-ప్రభువా
4,అందాల తార అరుదెన్ఛె నాకై,in_library_contained,138,Andaala Thaara,,https://waytochurch.com/lyrics/song/4/అందాల-తార-అరుదెన్ఛె-నాకై
5,అపరాదిని యేసయ్యా,in_library_exact,1427,Aparaadhini Yesayyaa,,https://waytochurch.com/lyrics/song/5/అపరాదిని-యేసయ్యా
6,ఆడెదన్ పాడెదన్,missing,,,,https://waytochurch.com/lyrics/song/6/ఆడెదన్-పాడెదన్
7,అత్యునత సింహాసనము పై,in_library_contained,507,Athyunnatha Simhaasanumpai,,https://waytochurch.com/lyrics/song/7/అత్యునత-సింహాసనము-పై
8,అన్ని నమముల కన్న పై నమము,in_library_lyric_line,39,Yesu Naamam,,https://waytochurch.com/lyrics/song/8/అన్ని-నమముల-కన్న-పై-నమము
9,"ఆరాధించెదను నిన్ను, నా యేసయ్య",in_library_contained,132,Aaraadhinchedanu Ninnu,,"https://waytochurch.com/lyrics/song/9/ఆరాధించెదను-నిన్ను,-నా-యేసయ్య-"
21,ఆలయంలో ప్రవేశించండి అందరూ,in_library_exact,348,Aalayamlo Praveshinchandi,,https://waytochurch.com/lyrics/song/21/ఆలయంలో-ప్రవేశించండి-అందరూ
22,ఆశ్చర్యమైన ప్రేమ కల్వరిలోని ప్రేమ,in_library_exact,436,Aascharyamaina Prema,,https://waytochurch.com/lyrics/song/22/ఆశ్చర్యమైన-ప్రేమ--కల్వరిలోని-ప్రేమ
23,ఆహా మహానందమే ఇహ పరంబులన్,missing,,,,https://waytochurch.com/lyrics/song/23/ఆహా-మహానందమే--ఇహ-పరంబులన్
24,ఇది కోతకు సమయం పనివారి తరుణం ప్రార్ధన చేయుదమా,in_library_exact,1461,Idhi Kothaku Samayam,,https://waytochurch.com/lyrics/song/24/ఇది-కోతకు-సమయం--పనివారి-తరుణం-ప్రార్ధన-చేయుదమా
25,ఉదయ కాంతి రేఖలో బెత్లెహేము పురమున,missing,,,,https://waytochurch.com/lyrics/song/25/ఉదయ-కాంతి-రేఖలో--బెత్లెహేము-పురమున
26,ఉన్నతమైన ప్రేమ అత్యున్నతమైన ప్రేమ,missing,,,,https://waytochurch.com/lyrics/song/26/ఉన్నతమైన-ప్రేమ--అత్యున్నతమైన-ప్రేమ
27,ఉన్నతమైన స్థలములలో ఉన్నతుడా మా దేవా,missing,,,,https://waytochurch.com/lyrics/song/27/ఉన్నతమైన-స్థలములలో---ఉన్నతుడా-మా-దేవా
28,ఊహల కందని లోకములో ఉన్నత సింహాసనమందు,missing,,,,https://waytochurch.com/lyrics/song/28/ఊహల-కందని-లోకములో-ఉన్నత-సింహాసనమందు
29,ఎందుకో నన్నింతగ నీవు ప్రేమించితివో దేవా,in_library_exact,22,Enduko Nanninthagaa Neevu,,https://waytochurch.com/lyrics/song/29/ఎందుకో-నన్నింతగ-నీవు-ప్రేమించితివో-దేవా
30,ఎన్ని తలచినా ఏది అడిగినా జరిగేది నీ చిత్తమే,in_library_contained,1115,Enni Thalachinaa,,https://waytochurch.com/lyrics/song/30/ఎన్ని-తలచినా--ఏది--అడిగినా--జరిగేది-నీ-చిత్తమే
31,ఒకసారి ఆలోచించవా ఓ సోదరా,missing,,,,https://waytochurch.com/lyrics/song/31/ఒకసారి-ఆలోచించవా-ఓ-సోదరా
32,ఓ నీతి సూర్యుడా క్రీస్తేసు నాథుడా,missing,,,,https://waytochurch.com/lyrics/song/32/ఓ-నీతి-సూర్యుడా---క్రీస్తేసు-నాథుడా
33,ఓ యేసు నీ దివ్య ప్రేమ వివరింప నాకు తరమా,missing,,,,https://waytochurch.com/lyrics/song/33/ఓ-యేసు-నీ-దివ్య-ప్రేమ-వివరింప-నాకు-తరమా
34,ఓరన్న ఓరన్న యేసుకు సాటివేరే లేరన్న లేరన్న,in_library_exact,850,Oranna Oranna,,https://waytochurch.com/lyrics/song/34/ఓరన్న--ఓరన్న-యేసుకు-సాటివేరే-లేరన్న-లేరన్న
35,కనుమా సిలువపై క్రీస్తేసుడు పొందిన శ్రమలు,missing,,,,https://waytochurch.com/lyrics/song/35/కనుమా-సిలువపై-క్రీస్తేసుడు-పొందిన-శ్రమలు
36,కల్వరిగిరిలోన సిల్వలో శ్రీయేసు పలు బాధలొందెను,in_library_contained,697,Kalvari Girilona Silvalo,,https://waytochurch.com/lyrics/song/36/కల్వరిగిరిలోన-సిల్వలో-శ్రీయేసు-పలు-బాధలొందెను
37,కలువరి గిరి సిలువలో పలు శ్రమలు పొందిన దైవమా,in_library_exact,1417,Kaluvari Giri Siluvalo,,https://waytochurch.com/lyrics/song/37/కలువరి-గిరి-సిలువలో--పలు-శ్రమలు-పొందిన-దైవమా
38,హల్లెలుయా అని పాడుచు క్రుపామయా నీకు స్తోత్రము,missing,,,,https://waytochurch.com/lyrics/song/38/హల్లెలుయా-అని-పాడుచు-క్రుపామయా-నీకు-స్తోత్రము
