file,wtc_id,song_name,author,stanzas,main_te_lines,main_en_lines,english,album,category,warnings,url
00006-aadedhan-paadehan.json,6,Aadedhan Paadehan,,2,1,1,partial,,,unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/6
00023-aaha-mahaanandame.json,23,Aaha Mahaanandame,,3,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0,https://waytochurch.com/lyrics/song/23
00025-udhayakanthi-rekalo.json,25,Udhayakanthi Rekalo,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/25
00026-unnanthamyna-prema-dm.json,26,Unnanthamyna Prema Dm,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/26
00027-unnathamyna-sthalamulalo-cm.json,27,Unnathamyna Sthalamulalo Cm,,3,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0,https://waytochurch.com/lyrics/song/27
00028-oohala-kandhani-lokamulo.json,28,Oohala Kandhani Lokamulo,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/28
00031-oka-saari-aalochinchava.json,31,Oka Saari Aalochinchava,,3,2,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0,https://waytochurch.com/lyrics/song/31
00032-o-neethi-suryuda.json,32,O Neethi Suryuda,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/32
00033-o-yesu-divya-prema.json,33,O Yesu Divya Prema,,2,1,0,none,,,no-english-lyrics; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/33
00035-kanumaa-siluva-pai.json,35,Kanumaa Siluva Pai,,2,1,0,none,,Good Friday,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/35
00038-halleluaya-ani-paduuchu.json,38,Halleluaya Ani Paduuchu,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/38
00039-kristhu-nedu-lechenu.json,39,Kristhu Nedu Lechenu,,4,0,0,none,,Easter,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=4 en=0,https://waytochurch.com/lyrics/song/39
00040-prema-kaligi-sathyamu-palukuchu.json,40,Prema Kaligi Sathyamu Palukuchu,Pastor N J Simon,0,1,1,full,Asha Theera,Alter Call,unbroken-lines,https://waytochurch.com/lyrics/song/40
00042-gesthemane-thota.json,42,Gesthemane Thota,,2,3,0,none,,,no-english-lyrics; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/42
00044-jayamu-kristhu-jaya-jaya-livigo.json,44,Jayamu Kristhu Jaya Jaya Livigo,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/44
00045-jayahe-jayahe.json,45,Jayahe Jayahe,,3,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0,https://waytochurch.com/lyrics/song/45
00048-divam-prema-swaroopam.json,48,Divam Prema Swaroopam,,2,1,0,none,,,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0,https://waytochurch.com/lyrics/song/48
