id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
3,,పరిశుద్ద పరిశుద్ద ప్రభువా,-,Andhra Kristava keerthanalu,,ragam: శంకరాభరణం-shMkaraabharaNM,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/3,363,483
4,andhaala thaara arudenche naaki,అందాల తార అరుదెన్ఛె నాకై,A B  Masilamani,andhra Kristava Keerthanalu,Christmas,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/4,785,0
5,aparaadini yesaiah,అపరాదిని యేసయ్యా,,andhra Kristava Keerthanalu,,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/5,624,0
6,aadedhan paadehan,ఆడెదన్ పాడెదన్,,,,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/6,1063,603
7,athyunatha simhasanamu pai,అత్యునత సింహాసనము పై,,andhra Kristava Keerthanalu,,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/7,630,0
8,anni namamula kanna pai namamu,అన్ని నమముల కన్న పై నమము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/8,977,0
9,aaradhinchedan ninnu naa yesaiah,"ఆరాధించెదను నిన్ను, నా యేసయ్య",,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/9,534,0
21,alayamlo pravesinchandi andharu,ఆలయంలో ప్రవేశించండి అందరూ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/21,498,0
22,ascharya mina prema,ఆశ్చర్యమైన ప్రేమ కల్వరిలోని ప్రేమ,,,Good Friday,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/22,560,0
23,aaha mahaanandame,ఆహా మహానందమే ఇహ పరంబులన్,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/23,545,0
24,idi kothaku samayam,ఇది కోతకు సమయం పనివారి తరుణం ప్రార్ధన చేయుదమా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/24,365,0
25,udhayakanthi rekalo,ఉదయ కాంతి రేఖలో బెత్లెహేము పురమున,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/25,417,0
26,unnanthamyna prema dm,ఉన్నతమైన ప్రేమ అత్యున్నతమైన ప్రేమ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/26,478,0
27,unnathamyna sthalamulalo cm,ఉన్నతమైన స్థలములలో ఉన్నతుడా మా దేవా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/27,744,0
28,oohala kandhani lokamulo,ఊహల కందని లోకములో ఉన్నత సింహాసనమందు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/28,376,0
29,enduko naninthaaga neevu,ఎందుకో నన్నింతగ నీవు ప్రేమించితివో దేవా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/29,682,806
30,enni thalachina,ఎన్ని తలచినా ఏది అడిగినా జరిగేది నీ చిత్తమే,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/30,979,0
31,oka saari aalochinchava,ఒకసారి ఆలోచించవా ఓ సోదరా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/31,478,0
32,o neethi suryuda,ఓ నీతి సూర్యుడా క్రీస్తేసు నాథుడా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/32,397,0
33,o yesu divya prema,ఓ యేసు నీ దివ్య ప్రేమ వివరింప నాకు తరమా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/33,307,0
34,oranna oranna,ఓరన్న ఓరన్న యేసుకు సాటివేరే లేరన్న లేరన్న,,,Easter,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/34,646,0
35,kanumaa siluva pai,కనుమా సిలువపై క్రీస్తేసుడు పొందిన శ్రమలు,,,Good Friday,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/35,703,0
36,kaluvari girilona,కల్వరిగిరిలోన సిల్వలో శ్రీయేసు పలు బాధలొందెను,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/36,276,0
37,kaluvari giri siluvalo,కలువరి గిరి సిలువలో పలు శ్రమలు పొందిన దైవమా,,,Good Friday,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/37,729,0
