song_id,song_name,author,confidence,status,basis,sources,researched_on
1,Ade Ade Aa Roju,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
2,Neevu Leni Roju,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
3,Enni Tharamulu Sthuthiyinchinaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
4,Nammadagina Devudavu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
5,Neevu Leka Kshanamainaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
6,Premaa Ane Maayalo,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
7,Neeve Naa Rakshana,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
8,El Shamaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
9,Enduko Nannu Neevu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
10,Prema Yesayyaa Premaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
11,Kadalakunduvu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
12,Pillalaaraa Naa Maata Vinudi,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
13,Aakaasham Amrutha Jallulu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
14,Naa Praanaaniki Praanam,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
15,Yesu Devuni Aashrayinchumaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
16,Ae Baadha Ledu Ae Kashtam Ledu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
17,Noothana Samvathsaramulo,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
18,Raakada Prabhuni Raakada,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
19,Aaraadhanaa Neeke Aaraadhanaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
20,Neeve Neeve Naa Thodunna,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
21,Daari Thappipothunnaavaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
22,Enduko Nanninthagaa Neevu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
23,Jaya Jaya Yesu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
24,Ee Loka Yaathraalo,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
25,Rakshakudu Vachchinaadu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
26,Cheppanaa Cheppanaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
27,Vesaarina Manase,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
28,Yesu Yesu Yesu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
29,Naa Notan Krottha Paata,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
30,Yesayyaa Naa Doraa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
31,Aakaashamandu Neevundagaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
32,Chiru Divvela Velugulatho,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
33,Randi Randi Randayo,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
34,O Kraisthavaa Yuvakaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
35,Entha Madhuramu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
36,Nee Krupa Chaalunayaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
37,Advitheeya Sathya Devaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
38,Sameepincharaani Thejassulo,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
39,Yesu Naamam,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
40,Madhuram Madhuram Naa Priya Yesu,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
41,Naa Devunni Nenu Premisthunnaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
42,Nee Deergha Shaanthame,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
43,Nenante Neeku Enthishtamo,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
44,Nanu Cherina Nee Prema,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
45,Suvaarthanu Prakatimpavaa,,0.00,not_researched,Not yet researched - no lookup was performed for this song.,,
