app_index,app_song_name,verdict,app_author,app_chars,title_score,title_match_id,title_match_name,c3,wd,cov,match_id,match_name,match_chars,match_title_score
0,Goppa Devudu Rajula Raaju,D-unique,Ramesh Kumar Parichha,555,0.625,382,Raajula Raaju,0.205,0.079,0.152,1471,Cheppalenu Baaboi,268,0.167
1,Kanneere Keerthanalaaye,D-unique,Dr.Asher Andrew,599,0.529,594,Kanneerelammaa,0.262,0.034,0.27,1473,Karuna Choopinchumaa,632,0.154
2,Mahopakaaruda,D-unique,Joshua Shaik,470,0.538,263,Adbhuthakarudaa,0.247,0.143,0.306,1862,Sadaa neevu naa thodugaa Yesayya,691,0.154
3,Nadipinchaya,D-unique,Yojana Reddy,617,0.562,3483,Aayane nannu nadipinchun,0.252,0.17,0.237,559,Manchi Snehithudaa,545,0.148
4,Nee Aatmatho,D-unique,Vijay Kondapuram,719,0.56,393,Devaa Nee Aathmanu,0.292,0.14,0.413,972,Krupa Krupa Naa Yesu Krupaa,1315,0.0
5,Nee Vaakyame Nannu,A-lyric-dup,,462,0.682,1039,Nee Vaakyame Nannu Brathikinchenu,0.905,0.848,0.893,1039,Nee Vaakyame Nannu Brathikinchenu,450,0.682
6,Neekai Naa Thrushna,D-unique,Dr. Asher Andrew,488,0.0,,,0.19,0.04,0.309,1788,Nee krupaye naa jeevithamu,1091,0.316
7,Nischayamuga Ninnu,D-unique,Krupa Paul,707,0.542,3640,Nishchayamuga ninnu dheevinchedhanu,0.346,0.122,0.369,1847,Asamaanudu Avamaanaparachadu Ninnu,802,0.298
8,Parisuddhudu Parisuddhudu,C-title-collision,Dr. Yehoshua Kamalakar,607,0.875,142,Parishuddhudu Parishuddhudu,0.213,0.037,0.332,804,Vadhiyimpabadina Gorrepillaa,1280,0.041
9,Varninchalenu..Vivarinchalenu,A-confirmed-dup,,391,0.926,249,Varninchalenu Vivarinchalenu,0.867,0.776,0.805,249,Varninchalenu Vivarinchalenu,335,0.926
10,Entho Sundarudamma Thanu,A-confirmed-dup,M. Prasanth Raju,876,0.977,179,Entho Sundarudamma Thaanu,0.971,0.969,0.984,179,Entho Sundarudamma Thaanu,900,0.977
